"시설명","시설종류","지정일자","주소","구역지정수","시설물 CCTV 수","시설물 도로표지판 수","시설물 과속방지턱 수","어린이보행자 사고건수 (2020년 ~ 2021년)"
" 남도초등학교","초등학교","","대구광역시 남구 현충동길 74 (대명동)","6","8","85","11","2"
"옥포예일유치원","유치원(일반)","2017년 10월 17일","대구광역시 달성군 옥포읍 법화길 61 ","1","0","12","2","0"
"매천초등학교","초등학교","","대구광역시 북구 매천로 179 (매천동)","4","6","39","3","0"
"신서초등학교","초등학교","","대구광역시 달서구 계대동문로3길 46 (신당동)","12","6","30","11","0"
"대구죽전초등학교","초등학교","","대구광역시 달서구 죽전길 127 (죽전동)","6","7","28","15","0"
"서변초등학교","초등학교","","대구광역시 북구 호국로43길 35 (서변동)","7","6","37","7","0"
"우정유치원","유치원(일반)","","대구광역시 달서구 선원로14길 10 (신당동)","3","1","12","2","0"
"싱어송유치원","유치원(일반)","","대구광역시 동구 신서로 71-52 (각산동)","1","0","4","1","0"
"은초롱유치원","유치원(일반)","","대구광역시 달서구 서당로7길 93 (신당동)","3","3","14","5","0"
"남대구초등학교","초등학교","","대구광역시 남구 중앙대로47길 55 (대명동)","4","7","47","7","0"
"남대구초등병설","유치원(병설)","","대구광역시 남구 중앙대로47길 55 (대명동)","0","0","0","0","0"
"신당초등학교","초등학교","","대구광역시 달서구 서당로 14 (신당동)","2","2","16","7","0"
"대구신천초등학교","초등학교","","대구광역시 동구 송라로6길 5 (신천동)","7","5","55","4","1"
"엘키즈유치원","유치원(일반)","2016년 03월 31일","대구광역시 달성군 화원읍 성천로42길 24 ","3","1","17","6","0"
"경상유치원","유치원(일반)","2016년 02월 24일","대구광역시 남구 현충로48길 31-9 (대명동)","2","4","33","8","0"
"천내어린이집","어린이집","2013년 04월 02일","대구광역시 달성군 화원읍 화원로7길 55 ","1","3","17","2","0"
"대구죽곡초등학교","초등학교","","대구광역시 달성군 다사읍 죽곡1길 18 ","6","7","74","24","0"
"관음어린이집","어린이집","","대구광역시 북구 관음중앙로22길 3 (관음동)","4","2","15","4","0"
"백합어린이집","어린이집","2008년 09월 26일","대구광역시 중구 남산로4길 111 (남산동)","1","0","12","0","0"
"꿈꽃어린이집","어린이집","","대구광역시 동구 송라로 110 (신암동)","1","0","6","0","0"
"송현초등학교","초등학교","","대구광역시 달서구 송현로 128 (송현동)","7","8","36","20","0"
"롯데가야유치원","유치원(일반)","","대구광역시 달서구 대명천로 101 (본리동, 본리 롯데캐슬)","2","2","24","8","0"
"한국어린이집","어린이집","","대구광역시 달서구 중흥로8길 112 (송현동)","2","2","12","6","0"
"대자연유치원","유치원(일반)","2014년 04월 18일","대구광역시 달성군 다사읍 서재본1길 9-10 ","4","0","0","0","0"
"대구감삼초등학교","초등학교","","대구광역시 달서구 당산로 123 (감삼동)","8","4","41","13","1"
"대남초등학교","초등학교","","대구광역시 달서구 월배로68길 91 (송현동)","9","9","85","27","0"
"멘사창의유치원","유치원(일반)","","대구광역시 달서구 송현로8길 92 (송현동)","2","2","9","3","0"
"리라유치원","유치원(일반)","","대구광역시 달서구 앞산순환로 225 (송현동)","1","2","5","0","0"
"죽곡어린이집","어린이집","","대구광역시 달성군 다사읍 달구벌대로174길 17-5 ","0","0","0","0","0"
" 동그라미유치원","유치원(일반)","","대구광역시 달서구 중흥로8길 50 (송현동)","3","1","12","6","0"
"경북유치원","유치원(일반)","","대구광역시 남구 중앙대로40길 10-1 (대명동)","3","3","13","2","0"
"은초롱어린이집","어린이집","","대구광역시 달성군 다사읍 서재본1길 11 ","0","0","0","0","0"
"꼬마또래어린이집","어린이집","","대구광역시 달서구 와룡로45안길 37 (용산동)","5","3","14","4","0"
"동영유치원","유치원(일반)","","대구광역시 수성구 파동로51길 80 (파동)","1","1","7","4","0"
"더플로우유치원","유치원(일반)","","대구광역시 동구 반야월북로 189-30 (각산동)","2","1","21","4","0"
"원화유치원","유치원(일반)","","대구광역시 달서구 당산로21안길 49 (감삼동)","2","1","8","7","1"
"스카이유치원","유치원(일반)","","대구광역시 달서구 당산로 12 (본리동)","2","1","11","2","0"
"동대구초등학교","초등학교","","대구광역시 동구 신암남로 45 (신암동)","4","8","37","6","0"
"사과나무유치원","유치원(일반)","","대구광역시 동구 아양로8길 31-4 (신암동)","0","0","0","0","0"
"칠성초등학교","초등학교","","대구광역시 북구 침산남로32길 17 (침산동)","4","4","28","7","1"
"두류초등학교","초등학교","","대구광역시 서구 달구벌대로357길 22 (내당동)","13","5","13","21","0"
"명덕초등학교","초등학교","1996년 05월 28일","대구광역시 중구 남산로2길 125 (남산동)","12","10","88","23","0"
"명덕초등학교 병설유치원","유치원(병설)","1995년 12월 30일","대구광역시 중구 남산로2길 125 (남산동)","0","0","0","0","0"
"효동초등학교","초등학교","","대구광역시 동구 효동로 78-7 (효목동)","3","1","17","0","0"
"좋은유치원","유치원(일반)","","대구광역시 북구 호암로 20 (칠성동2가, 성광우방타운)","6","6","47","12","0"
"동그라미어린이집","어린이집","2014년 04월 17일","대구광역시 달성군 화원읍 비슬로500길 10 ","2","1","10","1","0"
"동일초등학교","초등학교","1996년 05월 28일","대구광역시 수성구 들안로 311 (수성동2가)","2","5","25","4","0"
"성모유치원","유치원(일반)","2001년 09월 25일","대구광역시 중구 남산로4길 78 (남산동)","3","1","25","9","0"
"동덕초등학교 병설유치원","유치원(병설)","","대구광역시 중구 동덕로26길 20 (삼덕동2가)","0","0","0","0","0"
"동덕초등학교","초등학교","1998년 09월 08일","대구광역시 중구 동덕로26길 20 (삼덕동2가)","3","2","31","1","0"
"태양유치원","유치원(일반)","","대구광역시 달서구 월배로28안길 17-10 (진천동)","2","3","10","5","1"
"복현초등학교","초등학교","","대구광역시 북구 공항로 58 (복현동)","3","4","44","5","0"
"은하수어린이집","어린이집","","대구광역시 달서구 달구벌대로301길 58 (용산동)","2","1","10","3","0"
"특수학교(광명,영화,보명,보건,덕희)5개교","특수학교","","대구광역시 남구 성당로50길 33 (대명동)","3","5","28","5","0"
"백설어린이집","어린이집","2013년 04월 02일","대구광역시 달성군 화원읍 비슬로502길 14 ","1","1","12","2","0"
"아이별어린이집","어린이집","","대구광역시 북구 고성로34길 63 (고성동2가)","0","0","0","0","0"
"비안네유치원","유치원(일반)","","대구광역시 수성구 달구벌대로650길 81 (욱수동)","2","2","12","3","1"
"예일어린이집","어린이집","","대구광역시 동구 동부로 67-1 (신천동)","1","0","6","0","0"
"세종유치원","유치원(일반)","","대구광역시 달성군 다사읍 다사로4길 1 ","0","0","0","0","0"
"단비어린이집","어린이집","","대구광역시 동구 팔공로91길 10 (지묘동)","2","1","12","3","0"
"혜송유치원","유치원(일반)","","대구광역시 북구 호암로 40 (칠성동2가, 삼성아파트)","0","0","0","0","0"
"온뜨레피움어린이집","어린이집","","대구광역시 동구 아양로 213-6 (신암동)","1","0","4","0","0"
"옥산초등학교","초등학교","","대구광역시 북구 칠성시장로23길 55 (칠성동2가)","5","7","36","17","0"
"예원유치원","유치원(일반)","","대구광역시 북구 칠성로 105-21 (칠성동2가)","2","1","7","2","0"
"동산어린이집","어린이집","","대구광역시 수성구 달구벌대로652길 65-6 (욱수동)","1","1","11","4","1"
"호수유치원","유치원(일반)","","대구광역시 동구 팔공로68길 4-5 (봉무동)","1","0","3","0","0"
"보나유치원","유치원(일반)","2006년 12월 15일","대구광역시 중구 남산로7길 86 (남산동)","2","0","0","0","0"
"대구예술어린이집","어린이집","","대구광역시 달서구 죽전1안길 14 (죽전동)","2","1","6","0","0"
"대구반야월초등학교","초등학교","","대구광역시 동구 안심로49길 70 (서호동)","2","2","13","5","0"
"꿈나무어린이집","어린이집","2008년 09월 26일","대구광역시 중구 남산로1길 46-5 (남산동)","2","1","9","3","0"
" 새나래어린이집","어린이집","","대구광역시 북구 경대로7길 60 (대현동, 성지무궁화아파트)","1","2","7","2","0"
" 대봉초등학교","초등학교","","대구광역시 남구 대봉로26길 33 (이천동)","3","7","55","8","1"
"대구진월초등학교","초등학교","","대구광역시 달서구 진천로4길 32 (진천동)","4","7","42","15","0"
"대구안일초등학교","초등학교","","대구광역시 동구 율하동로23길 66 (율하동)","2","2","40","3","0"
"계명유치원","유치원(일반)","","대구광역시 남구 명덕로20길 24 (대명동)","2","4","18","4","0"
"삼덕어린이집","어린이집","","대구광역시 수성구 청호로46길 5-2 (황금동)","2","0","7","2","0"
" 튼튼한어린이집","어린이집","","대구광역시 북구 동변로20길 30-1 (동변동)","0","0","0","0","0"
"대구서재초등학교","초등학교","","대구광역시 달성군 다사읍 서재로 100 ","10","6","49","13","0"
"동문초등학교","초등학교","","대구광역시 수성구 효행로2길 111 (만촌동)","5","6","55","15","2"
"아이비어린이집","어린이집","2008년 09월 26일","대구광역시 중구 남산로3안길 20 (남산동)","2","1","7","3","0"
"대구감천초등학교","초등학교","","대구광역시 달서구 구마로12길 60 (월성동)","4","5","38","12","0"
"예쁜손어린이집","어린이집","","대구광역시 동구 율하동로26길 22 (신기동)","2","2","12","5","0"
"드림유치원","유치원(일반)","","대구광역시 남구 대봉로30길 36-8 (이천동)","0","0","0","0","0"
"대구남송초등학교","초등학교","","대구광역시 달서구 송현로 192 (본동)","4","7","57","9","0"
"소망어린이집","어린이집","","대구광역시 달서구 앞산순환로61길 68 (송현동)","3","3","11","5","0"
"더플로우어린이집","어린이집","2015년 10월 08일","대구광역시 남구 대봉로30길 40 (이천동)","1","3","10","2","0"
"대구덕성초등학교","초등학교","","대구광역시 동구 아양로34길 50 (신암동)","3","2","18","5","0"
"월성초등학교","초등학교","","대구광역시 달서구 학산로7길 26 (월성동)","0","0","0","0","1"
"계성유치원","유치원(일반)","1997년 10월 10일","대구광역시 중구 달성로 15 (대신동)","0","0","0","0","0"
"계성초등학교","초등학교","1997년 10월 10일","대구광역시 중구 달성로 15 (대신동)","3","3","39","5","0"
"들안길초등학교","초등학교","","대구광역시 수성구 들안로16길 58 (두산동)","11","11","79","23","0"
"북대구초등학교","초등학교","","대구광역시 북구 동북로37길 68 (산격동)","11","8","42","17","0"
"유아행복연구소(구 명지)","어린이집","","대구광역시 동구 신암남로27길 35 (신암동)","2","1","2","0","0"
"세계제일어린이집","어린이집","","대구광역시 북구 복현로20길 73-1 (복현동)","3","3","11","1","0"
"달서어린이집","어린이집","","대구광역시 달서구 대명천로8길 10 (성당동)","2","1","11","3","0"
" 사랑마을유치원","유치원(일반)","","대구광역시 달서구 상화북로 7 (진천동)","0","0","0","0","0"
"무지개어린이집","어린이집","","대구광역시 달서구 감삼남2길 108 (감삼동)","2","2","7","2","1"
"경운초등학교","초등학교","","대구광역시 서구 평리로54길 16 (내당동)","19","7","14","26","0"
"가톨릭소화어린이집","어린이집","","대구광역시 남구 현충로39길 74 (대명동)","3","3","23","7","0"
" 성명초등학교","초등학교","","대구광역시 남구 성당로30길 55 (대명동)","8","14","43","7","0"
"세화유치원","유치원(일반)","","대구광역시 서구 서대구로5길 56 (내당동)","6","4","15","6","0"
"대구성보학교","특수학교","","대구광역시 북구 동북로71길 9-45 (복현동)","1","1","6","2","0"
"성산어린이집","어린이집","","대구광역시 서구 옥산로6길 9 (원대동3가)","3","4","11","7","0"
"중동어린이집","어린이집","","대구광역시 수성구 희망로 121 (중동)","1","3","9","0","0"
"태현초등학교","초등학교","","대구광역시 북구 태전로 95 (태전동)","3","2","19","5","0"
"청동어린이집","어린이집","","대구광역시 남구 이천로28길 42-33 (이천동)","1","3","5","3","0"
"신명유치원","유치원(일반)","","대구광역시 북구 동변로20길 15 (동변동)","4","8","18","3","0"
"도림초등학교병설유치원","유치원(병설)","","대구광역시 달성군 다사읍 서재로26길 94 ","0","0","0","0","0"
"대구도림초등학교","초등학교","","대구광역시 달성군 다사읍 서재로26길 94 ","3","1","47","3","0"
"안드레아유치원","유치원(일반)","2014년 06월 17일","대구광역시 달성군 현풍읍 현풍동로 10 ","1","3","26","14","0"
"대구유천초등학교","초등학교","","대구광역시 달서구 달서대로 39 (유천동)","5","3","40","9","1"
"이본유치원","유치원(일반)","","대구광역시 동구 팔공로34길 27 (불로동)","2","1","6","0","0"
"대구논공초등학교","초등학교","","대구광역시 달성군 논공읍 논공로7길 41 ","0","0","0","0","0"
"논동초등학교병설유치원","유치원(병설)","","대구광역시 달성군 논공읍 논공로7길 41 ","0","0","0","0","0"
"문성초등학교","초등학교","","대구광역시 북구 복현로 180 (복현동)","6","5","33","4","0"
"삼덕초등학교","초등학교","1997년 10월 10일","대구광역시 중구 달구벌대로447길 10 (삼덕동3가)","3","5","29","4","0"
"고운어린이집","어린이집","","대구광역시 수성구 노변공원로7길 6-24 (노변동)","2","1","19","4","0"
"경전유치원","유치원(일반)","","대구광역시 북구 복현로 11 (복현동)","1","3","11","0","0"
"대구본리초등학교","초등학교","","대구광역시 달서구 장기로 198 (감삼동)","7","4","33","16","1"
"달서유치원","유치원(일반)","","대구광역시 서구 국채보상로 342 (비산동)","7","3","24","6","0"
"대구선명학교","특수학교","","대구광역시 동구 팔공산로 225 (덕곡동)","2","2","12","2","0"
"동구청어린이집","어린이집","","대구광역시 동구 신암남로 175-1 (신암동)","2","1","12","3","0"
"파호초등학교","초등학교","","대구광역시 달서구 달서대로109안길 76 (호산동)","3","5","18","7","0"
"조은어린이집","어린이집","","대구광역시 달서구 당산로45길 95 (감삼동)","2","1","9","4","0"
"대구호산초등학교","초등학교","","대구광역시 달서구 달서대로109길 116 (호산동)","3","3","35","1","0"
"대구가톨릭대학교부설유치원","유치원(일반)","","대구광역시 동구 안심로 300 (동호동)","3","1","7","2","0"
"효목어린이집","어린이집","","대구광역시 동구 효목로13길 23 (효목동)","3","2","11","3","0"
"숲속예은유치원","유치원(일반)","","대구광역시 달성군 다사읍 죽곡2길 35 ","0","0","0","0","0"
"서재성모유치원","유치원(일반)","","대구광역시 달성군 다사읍 서재로20길 28-1 ","0","0","0","0","0"
"대구동호초등학교","초등학교","","대구광역시 동구 동호로 25 (동호동)","1","1","18","2","0"
"청림초등학교","초등학교","","대구광역시 수성구 고산로 51 (노변동)","1","3","16","0","0"
"시지아이숲유치원 ","유치원(일반)","","대구광역시 수성구 달구벌대로625길 25 (시지동)","2","1","37","6","0"
"새동변어린이집","어린이집","","대구광역시 북구 동변로18길 25 (동변동)","1","1","10","2","0"
"아이비어린이집","어린이집","","대구광역시 달서구 진천로3길 31 (진천동)","2","2","10","0","0"
"성동초등학교","초등학교","","대구광역시 수성구 청수로45길 27 (황금동)","3","4","25","7","0"
"칼라풀어린이집","어린이집","","대구광역시 북구 복현로2길 34 (복현동)","2","2","16","4","0"
"화남어린이집","어린이집","2014년 04월 16일","대구광역시 달성군 화원읍 비슬로512길 44 ","2","1","19","6","1"
"동학어린이집","어린이집","","대구광역시 남구 자유5길 16 (대명동)","3","4","24","11","0"
"구지초등학교","초등학교","","대구광역시 달성군 구지면 창리로11길 45-11 ","6","4","21","3","0"
"구지초교병설","유치원(병설)","1997년 10월 10일","대구광역시 달성군 구지면 창리로11길 45-11 ","0","0","0","0","0"
"아름다운유치원","유치원(일반)","","대구광역시 동구 동호로2길 37-17 (동호동)","3","1","14","3","0"
"숙천초등학교","초등학교","","대구광역시 동구 숙천로 17 (숙천동)","4","4","50","3","0"
"달산초등학교","초등학교","","대구광역시 북구 옥산로17길 37 (침산동)","2","4","23","8","0"
"자연과예술유치원","유치원(일반)","","대구광역시 달서구 월배로5길 11-4 (유천동)","2","1","29","5","0"
"서부초등학교","초등학교","","대구광역시 서구 달서로26길 25 (비산동)","15","7","25","23","0"
"덕인초등학교","초등학교","","대구광역시 달서구 대명천로43길 66 (본리동)","7","10","29","11","1"
"삼육초등학교","초등학교","","대구광역시 수성구 청수로 22-23 (중동)","1","1","13","4","0"
" 코오롱아인슈타인유치원","유치원(일반)","","대구광역시 수성구 수성로 412 (수성동4가, 수성보성타운)","1","2","15","8","0"
"수성유치원","유치원(일반)","","대구광역시 수성구 신천동로96길 45 (수성동4가)","3","2","14","4","0"
"수성영희어린이집","어린이집","","대구광역시 수성구 신천동로86길 25 (수성동4가)","2","1","16","4","0"
"DGB아이꿈터어린이집","어린이집","","대구광역시 수성구 달구벌대로 2271-5 (수성동4가)","2","3","15","3","0"
"대구성지초등학교","초등학교","","대구광역시 달서구 새동네로 27 (용산동)","2","2","33","9","0"
"혜성어린이집","어린이집","","대구광역시 북구 신천동로148길 55 (대현동)","1","2","8","2","0"
"대구화원초등학교","초등학교","","대구광역시 달성군 화원읍 비슬로 2580 ","3","5","43","2","1"
"성산초등학교","초등학교","","대구광역시 달서구 선원남로 173 (용산동)","0","0","0","0","0"
"보성은하유치원","유치원(일반)","","대구광역시 달서구 월곡로 320 (상인동, 보성은하아파트)","0","0","0","0","2"
"보노유치원","유치원(일반)","","대구광역시 수성구 국채보상로 955-2 (만촌동)","2","1","15","0","0"
"아일랜드유치원","유치원(일반)","","대구광역시 수성구 국채보상로 990-10 (범어동)","3","3","12","1","0"
"예뜰유치원","유치원(일반)","","대구광역시 동구 반야월북로55길 43 (신서동)","2","1","10","3","0"
" 대구과학어린이집","어린이집","","대구광역시 달서구 와룡로15길 62 (본리동)","2","2","12","6","1"
" 사랑어린이집","어린이집","","대구광역시 북구 칠곡중앙대로126길 3 (읍내동)","0","0","0","0","0"
"청아어린이집","어린이집","","대구광역시 달서구 이곡공원로1길 16 (이곡동)","2","1","8","1","0"
"동인초등학교","초등학교","1997년 10월 10일","대구광역시 중구 국채보상로 728 (동인동4가)","3","5","23","1","0"
"동인초등학교 병설유치원","유치원(병설)","","대구광역시 중구 국채보상로 728 (동인동4가)","0","0","0","0","0"
"아이엠어린이집","어린이집","2013년 01월 09일","대구광역시 달성군 다사읍 다사로 103-8 ","0","0","0","0","0"
"정원어린이집","어린이집","","대구광역시 북구 칠곡중앙대로126길 21-24 (읍내동)","0","0","0","0","0"
" 웃는아이어린이집","어린이집","","대구광역시 북구 학정로 110-22 (태전동)","1","2","7","1","0"
"영선초등학교","초등학교","","대구광역시 남구 영선길 96 (이천동)","7","11","63","23","0"
" 경진초등학교","초등학교","","대구광역시 북구 경진로12길 5 (복현동)","5","6","39","10","0"
" 파랑새유치원","유치원(일반)","","대구광역시 달서구 월곡로35길 71 (상인동)","4","4","21","8","0"
"다사초등병설","유치원(병설)","1997년 10월 10일","대구광역시 달성군 다사읍 다사로 86 ","0","0","0","0","0"
"대구다사초등학교","초등학교","","대구광역시 달성군 다사읍 다사로 86 ","7","2","18","4","0"
" 자연과학유치원","유치원(일반)","","대구광역시 달서구 성지로16길 41 (용산동)","6","3","12","4","0"
"강남유치원","유치원(일반)","","대구광역시 동구 신암로18길 19 (신암동)","2","2","22","4","0"
"썸머힐어린이집","어린이집","","대구광역시 달서구 조암남로27길 10 (대천동)","1","1","4","0","0"
" 예나유치원","유치원(일반)","","대구광역시 수성구 욱수천로 133 (사월동, 시지2차사월보성타운)","1","1","12","4","0"
"침산초등학교","초등학교","","대구광역시 북구 성북로 25 (침산동)","3","3","35","5","0"
"대구한샘초등학교","초등학교","","대구광역시 달서구 월배로11길 42 (대천동)","3","3","29","8","0"
"구암어린이집","어린이집","","대구광역시 북구 구암로42길 13-20 (구암동)","3","2","13","2","0"
"사랑유치원","유치원(일반)","","대구광역시 달서구 야외음악당로41길 68 (두류동)","0","0","0","0","0"
"신흥초등학교","초등학교","","대구광역시 달서구 두류공원로 257 (두류동)","5","5","33","6","0"
"삼성유치원","유치원(일반)","","대구광역시 북구 동암로 21-19 (읍내동)","7","6","41","8","0"
"은혜어린이집","어린이집","","대구광역시 달서구 선원로53길 34-10 (용산동)","1","1","4","2","0"
"대구장성초등학교","초등학교","","대구광역시 달서구 달구벌대로 1429-11 (장기동)","6","13","48","19","0"
"상인초등학교","초등학교","","대구광역시 달서구 월곡로 211 (상인동)","3","3","26","10","1"
"포산유치원","유치원(일반)","","대구광역시 달성군 현풍읍 테크노북로 78 ","0","0","0","0","0"
"대구포산초등학교","초등학교","2017년 03월 09일","대구광역시 달성군 현풍읍 테크노북로 80 ","3","4","60","0","0"
"남명초등학교","초등학교","","대구광역시 남구 큰골4길 41 (대명동)","7","9","68","15","0"
"꿈이있는 숲속유치원(꿈숲유치원)","유치원(일반)","2012년 03월 07일","대구광역시 달성군 다사읍 다사로 64 ","0","0","0","0","0"
"용산유치원","유치원(일반)","","대구광역시 달서구 선원로55길 11-8 (용산동)","4","2","10","2","0"
" 나래영재어린이집","어린이집","","대구광역시 북구 대불서길 18-6 (산격동)","0","0","0","0","0"
"중리초등학교","초등학교","","대구광역시 서구 국채보상로 135 (이현동)","9","2","28","2","0"
"대구동신초등학교","초등학교","","대구광역시 동구 송라로 123 (신암동)","4","7","59","12","0"
"대구효신초등학교","초등학교","1996년 05월 28일","대구광역시 동구 동부로34길 70 (신천동)","2","5","20","5","0"
"월배유치원","유치원(일반)","","대구광역시 달서구 월배로 149-7 (진천동)","0","0","0","0","1"
" 환타랜드숲유치원","유치원(일반)","","대구광역시 북구 매천로17길 17-1 (매천동)","4","1","4","2","0"
"노변초등학교","초등학교","","대구광역시 수성구 노변공원로 52 (시지동)","2","1","39","14","0"
"비슬향유치원","유치원(일반)","2017년 03월 09일","대구광역시 달성군 현풍읍 현풍동로22길 17 ","0","0","0","0","0"
"송일초등학교","초등학교","","대구광역시 달서구 학산로2길 38 (월성동)","2","4","25","7","2"
"큰사랑어린이집","어린이집","","대구광역시 달서구 월배로75길 132 (송현동)","2","2","26","7","0"
"한글나라어린이집","어린이집","","대구광역시 달서구 야외음악당로9길 34 (성당동)","2","0","6","4","0"
"큰별유치원","유치원(일반)","","대구광역시 달성군 화원읍 성화로4길 13 (화원태왕타운)","2","1","11","3","0"
"더좋은유치원","유치원(일반)","","대구광역시 달서구 선원로 241 (용산동, 성서2차보성타운)","1","1","7","0","0"
"사랑마을어린이집","어린이집","","대구광역시 달서구 진천로10길 12 (진천동)","1","1","5","3","0"
"선원초등학교","초등학교","","대구광역시 달서구 선원로33길 105 (용산동)","3","2","19","5","0"
"채송화유치원","유치원(일반)","","대구광역시 북구 학정로48길 42-6 (구암동)","5","6","25","11","0"
"동해유치원","유치원(일반)","","대구광역시 달서구 장기로 50 (성당동)","2","2","14","3","0"
" 엘리트어린이집","어린이집","","대구광역시 북구 칠곡중앙대로43길 13 (태전동)","5","3","23","8","0"
